2338	1	1	[[0, 1], [-1, 1], [-1, 1], [0, 11.0], [-1, 1], [-1, 1], [0, 1], [-1, 1], [-1, 1], [-1, 1], [0, 1], [-1, 1]]	[20420, 64663, 20420, 83394]	188897	(37176159634.25088, 0.0, 0.0, 23840365.749118984)	37200000000.0	
2338	0	0	[[0, 1], [-1, 1], [-1, 1], [0, 10.0], [-1, 1], [-1, 1], [0, 1], [-1, 1], [-1, 1], [-1, 1], [0, 2], [-1, 1]]	[20420, 64663, 20420, 83394]	188897	(36852319268.50176, 0.0, 0.0, 347680731.49823797)	37200000000.0	
2338	0	0	[[0, 1], [-1, 1], [-1, 1], [0, 9.0], [-1, 1], [-1, 1], [0, 1], [-1, 1], [-1, 1], [-1, 1], [0, 3], [-1, 1]]	[20420, 64663, 20420, 83394]	188897	(36528478902.75264, 0.0, 0.0, 671521097.2473569)	37200000000.0	
2338	0	0	[[0, 1], [-1, 1], [-1, 1], [0, 8.0], [-1, 1], [-1, 1], [0, 1], [-1, 1], [-1, 1], [-1, 1], [0, 4], [-1, 1]]	[20420, 64663, 20420, 83394]	188897	(36204638537.003525, 0.0, 0.0, 995361462.9964759)	37200000000.0	
2338	0	0	[[0, 1], [-1, 1], [-1, 1], [0, 7.0], [-1, 1], [-1, 1], [0, 1], [-1, 1], [-1, 1], [-1, 1], [0, 5], [-1, 1]]	[20420, 64663, 20420, 83394]	188897	(35880798171.2544, 0.0, 0.0, 1319201828.7455947)	37200000000.0	
2338	0	0	[[0, 1], [-1, 1], [-1, 1], [0, 6.0], [-1, 1], [-1, 1], [0, 1], [-1, 1], [-1, 1], [-1, 1], [0, 6], [-1, 1]]	[20420, 64663, 20420, 83394]	188897	(35556957805.50529, 0.0, 0.0, 1643042194.4947138)	37200000000.0	
2338	0	0	[[0, 1], [-1, 1], [-1, 1], [0, 5.0], [-1, 1], [-1, 1], [0, 1], [-1, 1], [-1, 1], [-1, 1], [0, 7], [-1, 1]]	[20420, 64663, 20420, 83394]	188897	(35233117439.756165, 0.0, 0.0, 1966882560.2438326)	37200000000.0	
2338	0	0	[[0, 1], [-1, 1], [-1, 1], [0, 4.0], [-1, 1], [-1, 1], [0, 1], [-1, 1], [-1, 1], [-1, 1], [0, 8], [-1, 1]]	[20420, 64663, 20420, 83394]	188897	(34909277074.00705, 0.0, 0.0, 2290722925.992952)	37200000000.0	
2338	0	0	[[0, 1], [-1, 1], [-1, 1], [0, 3.0], [-1, 1], [-1, 1], [0, 1], [-1, 1], [-1, 1], [-1, 1], [0, 9], [-1, 1]]	[20420, 64663, 20420, 83394]	188897	(34585436708.25793, 0.0, 0.0, 2614563291.7420707)	37200000000.0	
3362	0	0	[[0, 1], [0, 1], [-1, 1], [0, 11.0], [-1, 1], [-1, 1], [0, 1], [-1, 1], [-1, 1], [-1, 1], [0, 1], [-1, 1]]	[20939, 64663, 20420, 83394]	189416	(33206462596.092598, 3969697038.1582813, 0.0, 23840365.749118984)	37200000000.0	
